"[u'County', u'Tom Schweich, \r\nREP', u'Sean O Toole, \r\nLIB', u'Rodney Farthing, \r\nCST']",[]
[],"[u'\xa0', u'\xa0', u'\xa0', u'\xa0']"
[],"[u'Adair', u'3,816', u'927', u'246']"
[],"[u'Andrew', u'3,416', u'720', u'303']"
[],"[u'Atchison', u'1,274', u'264', u'89']"
[],"[u'Audrain', u'3,962', u'746', u'280']"
[],"[u'Barry', u'5,548', u'892', u'332']"
[],"[u'Barton', u'2,341', u'336', u'157']"
[],"[u'Bates', u'2,650', u'752', u'324']"
[],"[u'Benton', u'3,514', u'680', u'289']"
[],"[u'Bollinger', u'2,269', u'272', u'139']"
[],"[u'Boone', u'25,900', u'7,736', u'1,842']"
[],"[u'Buchanan', u'12,701', u'4,115', u'1,787']"
[],"[u'Butler', u'6,428', u'948', u'337']"
[],"[u'Caldwell', u'1,512', u'407', u'157']"
[],"[u'Callaway', u'8,091', u'1,553', u'466']"
[],"[u'Camden', u'8,354', u'1,351', u'449']"
[],"[u'Cape Girardeau', u'13,230', u'1,988', u'659']"
[],"[u'Carroll', u'1,624', u'240', u'64']"
[],"[u'Carter', u'1,242', u'226', u'90']"
[],"[u'Cass', u'17,591', u'4,707', u'1,493']"
[],"[u'Cedar', u'2,679', u'374', u'142']"
[],"[u'Chariton', u'1,545', u'370', u'138']"
[],"[u'Christian', u'14,928', u'2,399', u'908']"
[],"[u'Clark', u'1,339', u'337', u'131']"
[],"[u'Clay', u'30,696', u'12,457', u'3,299']"
[],"[u'Clinton', u'3,527', u'1,193', u'409']"
[],"[u'Cole', u'17,916', u'2,780', u'709']"
[],"[u'Cooper', u'3,029', u'537', u'142']"
[],"[u'Crawford', u'4,285', u'714', u'253']"
[],"[u'Dade', u'1,731', u'232', u'123']"
[],"[u'Dallas', u'2,794', u'398', u'278']"
[],"[u'Daviess', u'1,218', u'317', u'114']"
[],"[u'De Kalb', u'1,870', u'433', u'164']"
[],"[u'Dent', u'2,696', u'350', u'647']"
[],"[u'Douglas', u'2,307', u'301', u'133']"
[],"[u'Dunklin', u'3,507', u'765', u'373']"
[],"[u'Franklin', u'18,829', u'3,938', u'1,386']"
[],"[u'Gasconade', u'3,148', u'423', u'139']"
[],"[u'Gentry', u'1,053', u'241', u'99']"
[],"[u'Greene', u'45,241', u'10,712', u'2,684']"
[],"[u'Grundy', u'1,856', u'300', u'172']"
[],"[u'Harrison', u'1,733', u'278', u'134']"
[],"[u'Henry', u'3,442', u'919', u'360']"
[],"[u'Hickory', u'1,827', u'334', u'120']"
[],"[u'Holt', u'975', u'137', u'49']"
[],"[u'Howard', u'2,009', u'459', u'158']"
[],"[u'Howell', u'6,026', u'868', u'357']"
[],"[u'Iron', u'1,505', u'368', u'194']"
[],"[u'Jackson', u'49,786', u'16,449', u'6,182']"
[],"[u'Jasper', u'16,878', u'3,037', u'1,044']"
[],"[u'Jefferson', u'35,543', u'9,867', u'3,772']"
[],"[u'Johnson', u'7,710', u'2,120', u'826']"
[],"[u'Kansas City', u'17,837', u'18,530', u'6,419']"
[],"[u'Knox', u'819', u'212', u'67']"
[],"[u'Laclede', u'5,768', u'722', u'232']"
[],"[u'Lafayette', u'6,554', u'1,703', u'463']"
[],"[u'Lawrence', u'6,789', u'1,106', u'409']"
[],"[u'Lewis', u'1,813', u'364', u'160']"
[],"[u'Lincoln', u'9,144', u'1,988', u'947']"
[],"[u'Linn', u'1,989', u'884', u'178']"
[],"[u'Livingston', u'2,781', u'495', u'153']"
[],"[u'Macon', u'3,623', u'636', u'293']"
[],"[u'Madison', u'1,875', u'398', u'189']"
[],"[u'Maries', u'2,174', u'249', u'90']"
[],"[u'Marion', u'4,685', u'983', u'395']"
[],"[u'McDonald', u'2,883', u'461', u'209']"
[],"[u'Mercer', u'870', u'113', u'76']"
[],"[u'Miller', u'4,316', u'507', u'246']"
[],"[u'Mississippi', u'1,627', u'258', u'208']"
[],"[u'Moniteau', u'2,720', u'400', u'97']"
[],"[u'Monroe', u'1,519', u'332', u'111']"
[],"[u'Montgomery', u'2,483', u'414', u'146']"
[],"[u'Morgan', u'3,994', u'697', u'275']"
[],"[u'New Madrid', u'2,197', u'614', u'323']"
[],"[u'Newton', u'10,295', u'1,557', u'539']"
[],"[u'Nodaway', u'3,943', u'838', u'266']"
[],"[u'Oregon', u'1,654', u'300', u'154']"
[],"[u'Osage', u'3,453', u'342', u'112']"
[],"[u'Ozark', u'2,032', u'303', u'125']"
[],"[u'Pemiscot', u'1,910', u'420', u'239']"
[],"[u'Perry', u'3,280', u'654', u'285']"
[],"[u'Pettis', u'6,630', u'1,555', u'489']"
